Country,Rice Production (Tons),Rank of Rice Production,Rice Production Per Person (Kg),Rank of Rice Production Per Person,Rice Acreage (Hectare),Rank of Rice Acreage,Rice Yield (Kg / Hectare),Rank of Rice Yield
Chile, 174.9K,65,10,76, 26.2K,77,"6,664.80",16
Mauritania, 383.0K,50,96.1,26, 73.0K,63,"5,249.20",36
Turkey,1.0M,40,12.4,68, 126.4K,52,"7,910.20",7
Kyrgyzstan, 41.2K,87,6.5,81, 11.3K,89,"3,646.40",63
Laos,3.4M,21,493.9,3, 783.8K,23,"4,386.50",49
Fiji, 5.7K,100,6.5,82, 1.9K,103,"3,000.00",76
Ghana, 925.0K,42,31.2,49, 321.2K,34,"2,879.70",81
Timor Leste, 80.0K,79,63.4,38, 25.0K,79,"3,202.80",74
Mexico, 245.2K,60,2,93, 38.5K,70,"6,366.30",21
Saint Vincent and the Grenadines,11,117,0.1,112,4,117,"2,750.00",86
Malawi, 133.0K,72,7.4,80, 74.9K,61,"1,776.60",94
Malaysia,2.9M,25,89.2,27, 684.4K,27,"4,255.00",52
Thailand,28.4M,6,409.9,7,9.7M,5,"2,918.80",80
Ecuador,1.1M,36,64.4,36, 257.3K,37,"4,274.40",50
Cambodia,10.9M,10,677.4,2,3.0M,11,"3,627.10",64
Ethiopia, 170.6K,66,1.6,98, 57.6K,69,"2,963.60",79
Nigeria,8.4M,13,42.7,43,5.3M,8,"1,597.10",97
Guinea Bissau, 187.0K,63,118,21, 120.0K,53,"1,558.30",99
Ivory Coast,1.9M,29,75.6,30, 697.9K,26,"2,699.60",88
El Salvador, 35.0K,90,5.3,86, 5.5K,96,"6,415.00",20
Eswatini, 1.0K,108,0.86,104,297,110,"3,367.00",70
Brazil,10.4M,12,49.5,42,1.7M,14,"6,063.30",24
Gabon, 1.8K,103,0.89,103,601,108,"3,054.90",75
Burundi, 88.5K,77,8.3,78, 59.0K,68,"1,500.20",102
North Macedonia, 21.3K,94,10.3,74, 3.5K,98,"6,112.60",23
Vietnam,43.4M,5,459,6,7.5M,6,"5,816.50",27
Suriname, 274.3K,59,482.6,5, 60.2K,67,"4,557.00",46
Angola, 10.1K,98,0.35,107, 8.5K,91,"1,193.10",107
Russia,1.1M,37,7.5,79, 190.7K,42,"5,761.50",28
Mali,3.2M,22,167.3,15, 924.6K,20,"3,456.80",68
Bhutan, 49.9K,85,68.7,34, 12.3K,86,"4,072.30",55
Nepal,5.6M,16,192,13,1.5M,16,"3,760.70",60
Italy,1.5M,31,24.7,54, 220.0K,39,"6,783.70",15
France, 82.6K,78,1.2,100, 15.1K,83,"5,468.20",33
Hungary, 11.0K,97,1.1,102, 2.7K,99,"4,162.30",54
Albania,585,111,0.2,109,140,111,"4,178.60",53
Zimbabwe, 1.6K,104,0.11,110, 26.1K,78,59.9,118
Senegal,1.2M,35,73.5,32, 345.6K,33,"3,344.20",71
Trinidad and Tobago, 1.0K,109,0.74,106, 2.0K,102,500,115
Egypt,6.7M,15,68.6,35, 799.0K,22,"8,372.60",4
Myanmar,26.3M,7,487.7,4,6.9M,7,"3,795.70",59
Belize, 13.9K,95,35.1,47, 2.4K,100,"5,750.90",29
Uzbekistan, 314.7K,55,9.6,77, 64.9K,66,"4,846.60",42
Papua New Guinea,853,110,0.1,111,406,109,"2,101.00",90
Uganda, 220.0K,62,5.7,84, 77.4K,60,"2,842.50",82
Jamaica,1,118,0.1,113,1,118,"1,000.00",110
Kazakhstan, 560.7K,47,30.7,50, 102.0K,57,"5,498.40",32
Taiwan,1.8M,30,76,29, 270.1K,35,"6,632.50",17
Philippines,18.8M,8,176.8,14,4.7M,9,"4,044.90",57
South Korea,5.0M,17,97.1,25, 729.8K,24,"6,873.10",12
Sri Lanka,4.6M,18,214.1,11, 957.6K,19,"4,795.40",43
Micronesia,199,113,1.9,96,99,113,"2,010.10",91
Mozambique, 341.0K,54,11.8,71, 724.8K,25,470.5,116
South Africa, 3.1K,101,0.05,115, 1.1K,106,"2,804.90",83
Syria,100,114,0.01,118,20,115,"5,000.00",40
Argentina,1.2M,34,26.7,52, 183.3K,44,"6,491.90",19
Romania, 39.5K,88,2,94, 7.4K,94,"5,320.30",35
Afghanistan, 382.5K,51,12.1,69, 127.5K,51,"2,999.30",77
Venezuela, 764.6K,44,24,56, 179.0K,45,"4,270.70",51
Brunei, 1.5K,105,3.5,88,773,107,"1,940.50",93
Uruguay,1.2M,33,342.3,8, 145.0K,49,"8,275.90",5
Morocco, 64.6K,82,1.9,95, 8.0K,92,"8,102.10",6
Haiti, 177.0K,64,15.9,64, 65.0K,64,"2,722.80",87
Ukraine, 54.6K,84,1.3,99, 10.5K,90,"5,197.10",37
Benin, 406.0K,49,35.7,46, 113.7K,54,"3,570.20",65
Dominican Republic,1.1M,38,105.3,23, 195.5K,40,"5,529.20",31
Iran,2.0M,28,24.4,55, 437.2K,31,"4,558.20",45
Comoros, 35.5K,89,41.7,44, 27.7K,75,"1,281.70",105
Indonesia,54.6M,3,206,12,10.7M,4,"5,113.70",39
Bolivia, 600.0K,45,53.1,41, 187.3K,43,"3,204.00",73
Mauritius,21,116,0.02,116,6,116,"3,500.00",66
China,211.4M,1,151.7,17,30.0M,2,"7,056.20",11
Bulgaria, 70.9K,80,10.1,75, 11.8K,87,"6,000.00",26
Cameroon, 313.1K,56,13.2,67, 268.4K,36,"1,166.40",108
United States,8.4M,14,25.6,53,1.0M,18,"8,373.50",3
Guinea,2.6M,27,218.7,10,1.9M,12,"1,350.80",104
Sierra Leone, 947.5K,41,122.7,20, 601.7K,28,"1,574.50",98
Algeria,229,112,0.01,117,115,112,"1,991.30",92
Gambia, 22.0K,93,10.7,73, 65.0K,65,338.5,117
Honduras, 57.2K,83,6.4,83, 15.2K,82,"3,758.10",61
Zambia, 29.6K,92,1.8,97, 24.6K,80,"1,203.80",106
Australia, 66.8K,81,2.7,90, 7.6K,93,"8,771.00",1
Panama, 305.0K,57,73.3,33, 89.6K,59,"3,405.60",69
Greece, 220.9K,61,20.5,58, 29.9K,73,"7,398.90",10
Togo, 147.1K,71,20,59, 89.7K,58,"1,639.80",96
Nicaragua, 468.1K,48,74.5,31, 73.9K,62,"6,335.30",22
Paraguay,1.1M,39,151.6,18, 162.0K,48,"6,600.00",18
Chad, 290.6K,58,18.9,60, 192.3K,41,"1,510.80",101
Bangladesh,54.6M,4,330.6,9,11.5M,3,"4,739.80",44
Liberia, 170.0K,67,38.8,45, 240.0K,38,708.3,113
Japan,10.5M,11,83.2,28,1.5M,15,"6,826.80",14
Solomon Islands, 2.8K,102,4.1,87, 1.8K,104,"1,512.60",100
Saudi Arabia,88,115,0.01,119,60,114,"1,466.70",103
Cuba, 377.7K,52,33.7,48, 108.4K,55,"3,484.30",67
Central African Republic, 9.8K,99,2.1,92, 5.8K,95,"1,689.00",95
Pakistan,11.1M,9,55.1,40,3.0M,10,"3,663.70",62
Spain, 778.8K,43,16.7,63, 103.4K,56,"7,533.90",9
Azerbaijan, 11.1K,96,1.1,101, 4.0K,97,"2,761.30",85
India,177.6M,2,132.9,19,43.8M,1,"4,057.70",56
Turkmenistan, 130.0K,74,22.2,57, 171.2K,47,759.4,112
Tajikistan, 106.4K,76,11.9,70, 12.4K,85,"8,588.20",2
Sudan, 32.0K,91,0.78,105, 11.5K,88,"2,773.00",84
Tanzania,3.5M,20,64.1,37,1.1M,17,"3,301.30",72
Rwanda, 131.6K,73,11,72, 32.9K,71,"3,999.80",58
Madagascar,4.2M,19,161.1,16, 815.7K,21,"5,187.20",38
Costa Rica, 153.8K,69,30.7,51, 31.7K,72,"4,858.50",41
Kenya, 160.6K,68,3.2,89, 23.5K,81,"6,836.30",13
North Korea,2.8M,26,109.5,22, 465.8K,30,"6,018.60",25
Republic of the Congo, 1.2K,106,0.23,108, 2.0K,101,598,114
Iraq, 574.7K,46,14.6,66, 127.7K,50,"4,501.40",48
Burkina Faso, 376.5K,53,18.6,61, 177.3K,46,"2,124.20",89
Niger, 121.8K,75,5.7,85, 26.7K,76,"4,553.60",47
Guyana,1.1M,,"1,342.30",1, 206.4K,,"5,086.50",
Somalia, 1.1K,107,0.08,114, 1.1K,105,"1,014.20",109
Colombia,3.0M,24,60.3,39, 531.2K,29,"5,671.20",30
Guatemala, 42.0K,86,2.4,91, 14.1K,84,"2,974.50",78
Peru,3.2M,23,102.1,24, 414.5K,32,"7,691.80",8
DR Congo,1.4M,32,17,62,1.8M,13,760.3,111
Portugal, 152.8K,70,14.8,65, 28.5K,74,"5,359.60",34
